curriculumCode,sourcePath,semester,curriculumSubjectCode,subjectCode,note
BIT_SE_K20B,$[2].subjects[38].children[0],8,EXE201,EXE201,Mon hoc/EXE201 - Experiential Entrepreneurship 2 - Trải nghiệm khởi nghiệp 2.md
BIT_SE_K21B,$[3].subjects[38].children[0],8,EXE201,EXE201,Mon hoc/EXE201 - Experiential Entrepreneurship 2 - Trải nghiệm khởi nghiệp 2.md
BIT_SE_K19B,$[0].subjects[46].children[2],9,SE_GRA_ELE,EXE402,Mon hoc/EXE402 - Dự án khởi nghiệp tốt nghiệp.md
BIT_SE_K19D_K20A,$[1].subjects[46].children[2],9,SE_GRA_ELE,EXE402,Mon hoc/EXE402 - Dự án khởi nghiệp tốt nghiệp.md
BIT_SE_K20B,$[2].subjects[46].children[2],9,SE_GRA_ELE,EXE402,Mon hoc/EXE402 - Dự án khởi nghiệp tốt nghiệp.md
BIT_SE_K21B,$[3].subjects[46].children[2],9,SE_GRA_ELE,EXE402,Mon hoc/EXE402 - Dự án khởi nghiệp tốt nghiệp.md
BIT_SE_K19B,$[0].subjects[26].children[3],5,SE_COM*1,FER202,Mon hoc/FER202 - Phát triển web Front-End với React.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[3],5,SE_COM*1,FER202,Mon hoc/FER202 - Phát triển web Front-End với React.md
BIT_SE_K20B,$[2].subjects[26].children[3],5,SE_COM*1,FER202,Mon hoc/FER202 - Phát triển web Front-End với React.md
BIT_SE_K21B,$[3].subjects[26].children[3],5,SE_COM*1,FER202,Mon hoc/FER202 - Phát triển web Front-End với React.md
BIT_SE_K19B,$[0].subjects[26].children[7],5,SE_COM*1,FGU301,Mon hoc/FGU301 - Phát triển game cơ bản.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[7],5,SE_COM*1,FGU301,Mon hoc/FGU301 - Phát triển game cơ bản.md
BIT_SE_K20B,$[2].subjects[26].children[6],5,SE_COM*1,FGU301,Mon hoc/FGU301 - Phát triển game cơ bản.md
BIT_SE_K21B,$[3].subjects[26].children[6],5,SE_COM*1,FGU301,Mon hoc/FGU301 - Phát triển game cơ bản.md
BIT_SE_K19B,$[0].subjects[35].children[10],7,SE_COM*2,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K19B,$[0].subjects[36].children[10],7,SE_COM*3,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K19D_K20A,$[1].subjects[35].children[10],7,SE_COM*2,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K19D_K20A,$[1].subjects[36].children[10],7,SE_COM*3,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K20B,$[2].subjects[35].children[10],7,SE_COM*2,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K20B,$[2].subjects[36].children[10],7,SE_COM*3,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K21B,$[3].subjects[35].children[10],7,SE_COM*2,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K21B,$[3].subjects[36].children[10],7,SE_COM*3,GDC301,Mon hoc/GDC301 - Thiết kế game cơ bản - Từ ý tưởng đến thực hiện.md
BIT_SE_K19B,$[0].subjects[46].children[0],9,SE_GRA_ELE,GRC490,Mon hoc/GRC490 - Khóa luận tốt nghiệp liên ngành Quản trị kinh doanh - Kỹ thuật phần mềm.md
BIT_SE_K19D_K20A,$[1].subjects[46].children[0],9,SE_GRA_ELE,GRC490,Mon hoc/GRC490 - Khóa luận tốt nghiệp liên ngành Quản trị kinh doanh - Kỹ thuật phần mềm.md
BIT_SE_K20B,$[2].subjects[46].children[0],9,SE_GRA_ELE,GRC490,Mon hoc/GRC490 - Khóa luận tốt nghiệp liên ngành Quản trị kinh doanh - Kỹ thuật phần mềm.md
BIT_SE_K21B,$[3].subjects[46].children[0],9,SE_GRA_ELE,GRC490,Mon hoc/GRC490 - Khóa luận tốt nghiệp liên ngành Quản trị kinh doanh - Kỹ thuật phần mềm.md
BIT_SE_K19B,$[0].subjects[44].children[0],9,HCM202,HCM202,Mon hoc/HCM202 - Ho Chi Minh Ideology - Tư tưởng Hồ Chí Minh.md
BIT_SE_K19D_K20A,$[1].subjects[44].children[0],9,HCM202,HCM202,Mon hoc/HCM202 - Ho Chi Minh Ideology - Tư tưởng Hồ Chí Minh.md
BIT_SE_K20B,$[2].subjects[44].children[0],9,HCM202,HCM202,Mon hoc/HCM202 - Ho Chi Minh Ideology - Tư tưởng Hồ Chí Minh.md
BIT_SE_K21B,$[3].subjects[44].children[0],9,HCM202,HCM202,Mon hoc/HCM202 - Ho Chi Minh Ideology - Tư tưởng Hồ Chí Minh.md
BIT_SE_K19B,$[0].subjects[26].children[5],5,SE_COM*1,HSF302,Mon hoc/HSF302 - Làm việc với Spring Framework.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[5],5,SE_COM*1,HSF302,Mon hoc/HSF302 - Làm việc với Spring Framework.md
BIT_SE_K20B,$[2].subjects[26].children[5],5,SE_COM*1,HSF302,Mon hoc/HSF302 - Làm việc với Spring Framework.md
BIT_SE_K21B,$[3].subjects[26].children[5],5,SE_COM*1,HSF302,Mon hoc/HSF302 - Làm việc với Spring Framework.md
BIT_SE_K19B,$[0].subjects[26].children[6],5,SE_COM*1,IAO201c,Mon hoc/IAO201c - Nhập môn an toàn thông tin.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[6],5,SE_COM*1,IAO201c,Mon hoc/IAO201c - Nhập môn an toàn thông tin.md
BIT_SE_K19B,$[0].subjects[21].children[0],4,IOT102,IOT102,Mon hoc/IOT102 - Internet vạn vật.md
BIT_SE_K19D_K20A,$[1].subjects[21].children[0],4,IOT102,IOT102,Mon hoc/IOT102 - Internet vạn vật.md
BIT_SE_K20B,$[2].subjects[22].children[0],4,IOT102,IOT102,Mon hoc/IOT102 - Internet vạn vật.md
BIT_SE_K21B,$[3].subjects[22].children[0],4,IOT102,IOT102,Mon hoc/IOT102 - Internet vạn vật.md
BIT_SE_K19B,$[0].subjects[39].children[0],8,ITE302c,ITE302c,Mon hoc/ITE302c - Đạo đức trong CNTT.md
BIT_SE_K19D_K20A,$[1].subjects[39].children[0],8,ITE302c,ITE302c,Mon hoc/ITE302c - Đạo đức trong CNTT.md
BIT_SE_K20B,$[2].subjects[39].children[0],8,ITE302c,ITE302c,Mon hoc/ITE302c - Đạo đức trong CNTT.md
BIT_SE_K21B,$[3].subjects[39].children[0],8,ITE302c,ITE302c,Mon hoc/ITE302c - Đạo đức trong CNTT.md
BIT_SE_K19B,$[0].subjects[21].children[1],4,IOT102,IoT102t,Mon hoc/IoT102t - Internet vạn vật.md
BIT_SE_K19D_K20A,$[1].subjects[21].children[1],4,IOT102,IoT102t,Mon hoc/IoT102t - Internet vạn vật.md
BIT_SE_K20B,$[2].subjects[22].children[1],4,IOT102,IoT102t,Mon hoc/IoT102t - Internet vạn vật.md
BIT_SE_K21B,$[3].subjects[22].children[1],4,IOT102,IoT102t,Mon hoc/IoT102t - Internet vạn vật.md
BIT_SE_K19B,$[0].subjects[43].children[0],8,SE_COM*4_ELE,JIS401,Mon hoc/JIS401 - Tiếng Nhật CNTT trong ngành phần mềm.md
BIT_SE_K19D_K20A,$[1].subjects[43].children[0],8,SE_COM*4_ELE,JIS401,Mon hoc/JIS401 - Tiếng Nhật CNTT trong ngành phần mềm.md
BIT_SE_K20B,$[2].subjects[43].children[0],8,SE_COM*4_ELE,JIS401,Mon hoc/JIS401 - Tiếng Nhật CNTT trong ngành phần mềm.md
BIT_SE_K21B,$[3].subjects[43].children[0],8,SE_COM*4_ELE,JIS401,Mon hoc/JIS401 - Tiếng Nhật CNTT trong ngành phần mềm.md
BIT_SE_K19B,$[0].subjects[43].children[1],8,SE_COM*4_ELE,JIT401,Mon hoc/JIT401 - Tiếng Nhật công nghệ thông tin.md
BIT_SE_K19D_K20A,$[1].subjects[43].children[1],8,SE_COM*4_ELE,JIT401,Mon hoc/JIT401 - Tiếng Nhật công nghệ thông tin.md
BIT_SE_K20B,$[2].subjects[43].children[1],8,SE_COM*4_ELE,JIT401,Mon hoc/JIT401 - Tiếng Nhật công nghệ thông tin.md
BIT_SE_K21B,$[3].subjects[43].children[1],8,SE_COM*4_ELE,JIT401,Mon hoc/JIT401 - Tiếng Nhật công nghệ thông tin.md
BIT_SE_K19B,$[0].subjects[18].children[0],3,JPD113,JPD113,Mon hoc/JPD113 - Tiếng Nhật sơ cấp 1-A1.1.md
BIT_SE_K19D_K20A,$[1].subjects[18].children[0],3,JPD113,JPD113,Mon hoc/JPD113 - Tiếng Nhật sơ cấp 1-A1.1.md
BIT_SE_K20B,$[2].subjects[17].children[0],3,JPD113,JPD113,Mon hoc/JPD113 - Tiếng Nhật sơ cấp 1-A1.1.md
BIT_SE_K21B,$[3].subjects[17].children[0],3,JPD113,JPD113,Mon hoc/JPD113 - Tiếng Nhật sơ cấp 1-A1.1.md
BIT_SE_K19B,$[0].subjects[22].children[0],4,JPD123,JPD123,Mon hoc/JPD123 - Tiếng Nhật sơ cấp 1-A1.2.md
BIT_SE_K19D_K20A,$[1].subjects[22].children[0],4,JPD123,JPD123,Mon hoc/JPD123 - Tiếng Nhật sơ cấp 1-A1.2.md
BIT_SE_K20B,$[2].subjects[23].children[0],4,JPD123,JPD123,Mon hoc/JPD123 - Tiếng Nhật sơ cấp 1-A1.2.md
BIT_SE_K21B,$[3].subjects[23].children[0],4,JPD123,JPD123,Mon hoc/JPD123 - Tiếng Nhật sơ cấp 1-A1.2.md
BIT_SE_K19B,$[0].subjects[26].children[0],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K19B,$[0].subjects[26].children[1],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[0],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[1],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K20B,$[2].subjects[26].children[0],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K20B,$[2].subjects[26].children[1],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K21B,$[3].subjects[26].children[0],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K21B,$[3].subjects[26].children[1],5,SE_COM*1,JPD133,Mon hoc/JPD133 - Tiếng Nhật sơ cấp 1-A1 - A2.md
BIT_SE_K19B,$[0].subjects[35].children[0],7,SE_COM*2,JPD316,Mon hoc/JPD316 - Tiếng Nhật trung cấp 1-B1 - B2.md
BIT_SE_K19B,$[0].subjects[35].children[2],7,SE_COM*2,JPD316,Mon hoc/JPD316 - Tiếng Nhật trung cấp 1-B1 - B2.md
BIT_SE_K19B,$[0].subjects[36].children[0],7,SE_COM*3,JPD316,Mon hoc/JPD316 - Tiếng Nhật trung cấp 1-B1 - B2.md
BIT_SE_K19B,$[0].subjects[36].children[2],7,SE_COM*3,JPD316,Mon hoc/JPD316 - Tiếng Nhật trung cấp 1-B1 - B2.md
